Mes,Día,Ending Diario,Ending Especial / Secundario,Alternative Ending,Backup Fact of the Day
,11,"ON THIS DAY…  on January 11, 2013, Aaron Swartz was found dead at his Brooklyn apartment. He committed suicide at only 26 years old after an intense life of Internet activism. Aaron will be remembered as a programmer, entrepreneur and a community-driven professional. During that year the Internet Hall of Fame approved his induction.",,,
,12,"ON THIS DAY… on January 12, 1997, the fictional HAL 9000 computer becomes operational, according to 2001: A Space Odyssey. In the 1968 movie adaptation, the computer's statement, ""I am a HAL 9000 computer, Production Number 3. I became operational at the HAL Plant in Urbana, Illinois, on January 12, 1997,"" put his birthdate in 1992. Both dates have now passed with no super-intelligent, human-like HAL computer in sight. As far as we know.",,,
,13,"ON THIS DAY… on January 13, 1874, the US Patent Office issues a patent for the Spalding Adding Machine. The precursor of calculators and computers, mechanical adding machines could do simple arithmetic and were popular in businesses until supplanted by computers in the 1960s, almost 100 years after.",,,
,14,"ON THIS DAY… on January 14, 2014, the NY Times reported that the National Security Agency has implanted software in nearly 100,000 computers around the world, that allowed the US to conduct surveillance on those machines and start cyberattacks. It worked thanks to a covert channel of radio waves that can be transmitted from tiny circuit boards and USB cards inserted into the computers.",,,
,15,"ON THIS DAY… on January 15, 2001, Jimmy Wales at only 35 years old, a retired futures and options trader, founded Wikipedia. It started as an offshoot of Nupedia, a free, online encyclopedia written by experts. Larry Sanger and Jimmy Wales came up with the idea of allowing anybody to edit entries.",CUMPLEAÑOS DE MANFRED DAILY,,
,16,"ON THIS DAY… on January 16, 2007, Netflix announced it would begin offering a streaming movies service in addition to its DVD rental service. Movies would initially stream to Windows PCs for customers with at least 3 Mbps Internet service and roll out slowly to all subscribers by July",,,
,17,"ON THIS DAY… on January 17, 2012, Jerry Yang, one of Yahoo’s co-founders, resigns from its board amidst pressure from investors and other board members. A former CEO of Yahoo! he was one of the minds behind the rejection of a multi-billion offer from Microsoft to take over the corporation. A few years later, Yahoo! was worth less than half of the acquisition offer.",,,
,18,"ON THIS DAY… on January 18, 2012, a number of Internet sites, including Wikipedia, went dark for 24 hours to raise awareness of twin anti-piracy bills pending in US Congress. Protests quickly cut into support for the Stop Online Piracy Act (SOPA) and the Protect IP Act (PIPA) as many senators that co-sponsored or supported the bill changed sides leaving the legislation to die.",,,
,19,"ON THIS DAY... on January 19, 1983, Apple Computer Introduces the Lisa, named after Steve Jobs’ daughter. The former CEO of Apple was taken off of his project in 1982 as it was faultering. The Lisa sold for ten thousand dollars, which along with poor third party software availability and incompatibility with the Apple II, led to weak sales.",,,
,20,"ON THIS DAY… on January 20, 1988, a group of small computer companies announces that they were in position to allow clones of IBM's PS/2 line of personal computers. IBM tried to legally defend the generation of computers that tried to recapture the personal computer market from its competitors.",,,
,21,"ON THIS DAY… on January 21, 1981, the first production Delorean DMC-12 was built, a car we all remember from the “Back to the Future” movies. A prototype was made back in 1976 and all Deloreans were made in Ireland. 9,000 Deloreans were made before financial issues got to the company in 1983. A revival was attempted and announcements of an all-electric Delorean (with prototype), but as of this point has not come out of Vaporware.",,,
,22,"ON THIS DAY… on January 22, 1984, Apple Computer launches the Macintosh, the first mouse-driven computer with a graphic user interface, with a single $1.5 million commercial during the Super Bowl. Apple's commercial played on the theme of George Orwell's 1984 and featured the destruction of Big Brother -- a veiled reference to IBM.",,,
,23,"ON THIS DAY… on January 23, 1996, the first version of the Java programming language was released. The ability of Java to “write once, run anywhere” made it ideal for Internet-based applications. As the popularity of the Internet soared, so did the usage of Java.",,,
,24,"ON THIS DAY…  on January 24, 2016, Marvin Minsky passed away. A Turing Award recipient (the highest distinction in computer science), he was one of the founder of the MIT Artificial Intelligence Lab and an AI precursor. He appeared directly or indirectly in both the novel and the movie “2001: a Space Odyssey.”",,,
,25,"ON THIS DAY… on January 25, 1947, Thomas Goldsmith Jr. files a patent for a ""Cathode Ray Tube Amusement Device"", the first ever electronic game. The patent describes a game in which a player controls the CRT's electron gun much like an Etch A Sketch. It was never commercialized.",Día del Community Manager (2021),,
,26,"ON THIS DAY… on January 26, 1978, Dr. Xu Liangying, one of the most intellectually distinguished dissidents in China, was allowed to re-publish a book about Albert Einstein in The People’s Daily. This marked the official reinstatement of Einstein’s theory of relativity after the Cultural Revolution. One year later this fact was celebrated by one thousand Chinese scientists.",,,
,27,"ON THIS DAY… on January 27, 1994, Silicon Graphics Inc. co-founder Jim Clark leaves the company to start Mosaic Communications with Marc Andreessen. Mosaic became Netscape, and the company’s first product was a web browser, named Netscape Navigator. The share of Netscape users peaked in the mid-1990s, but had fallen to less than one percent by the end of 2006.",,,
,28,"ON THIS DAY… on January 28, 2002, Palm Inc. introduced its $449 i705 handheld computer with wireless e-mail and message service. This model did not have a file out antenna and had an internal rechargeable battery. Commonly known as a PDA, these devices were widely popular in the past, however, where are them now?",Día de la Protección de Datos (2021),,
,29,"ON THIS DAY… on January 29, 2014, Google sold Motoral Mobility’s smartphone business to Lenovo for $2.9 billion. The deal came less than two years after Google bought Motorola Mobility for a then Google’s record of $12.4 billion.",,,
,30,"ON THIS DAY… on January 30, 2007, The Windows Vista computer operating system went on sale in the consumer retail market. One of the most hated OS in history, Vista’s malfunctions made Microsoft extend XP’s cutoff date.",,,
,31,"ON THIS DAY… on January 31 1928, Irma Wyman, a pioneer in the computer world, was born. After being one of the best in her University of Michigan Engineering’s class and working in military research, she joined Honeywell and became its first female VP and CIO.",,,
Febrero,1,"ON THIS DAY… on February 1, 1991, Mike Sheridan, James Gosling, and Patrick Naughton of Sun Microsystems, Inc. start to develop Java technology. Naughton focused on graphics, Gosling on programming language and Sheridan on business.",,,
,2,"ON THIS DAY… on February 2, 1996, Gil Amelio is named CEO of Apple, replacing Michael Spindler after the layoff of 1,300 employees and severe financial losses. Amelio lasted about a year and a half before Steve Jobs replaced him and led Apple back into profitability.",,,
,3,"ON THIS DAY… on February 3, 1966, The Soviet Union's Luna 9 becomes the first spacecraft to make a soft landing on the Moon, and the first spacecraft to take pictures from the surface of the Moon.",,,
,4,"ON THIS DAY… on February 4, 1948, Kenneth Thompson, who with Dennis Ritchie developed UNIX, is born. The UNIX operating system combined many of the timesharing and file management features offered by Multics, from which it took its name.","17 Aniversario de Facebook (2021)
Día del Orgullo Zombie",,
,5,"ON THIS DAY... on February 5, 1952, the first “Don’t Walk” sign was installed in New York City. The installation of this sign was inspired by the growing number of deaths resulting from pedestrian accidents.",,,
,6,"ON THIS DAY... on February 6, 1986, Steve Wozniak, the co-founder of Apple Computer, decides to leave to pursue other interests. Reportedly he was unhappy that the company was devoting most of its resources to the Macintosh at the expense of the Apple II. He remained a shareholder on the board and eventually come back as an advisor when Gil Amelio became CEO. He makes sporadic appearances at Apple events but still does not perform in any official capacity at Apple.",,,
,7,"ON THIS DAY… on February 7, 1997, Apple Computer and NeXT merged starting the path to Mac OS X. NeXT had been founded by Steve Jobs and other former workers of Apple after Jobs got fired back in 1985.",,,
,8,"ON THIS DAY… on February 8, 1996, “A Declaration of the Independence of the Cyberspace” is presented by John Perry Barlow, founder of the Electronic Frontier Education. This early paper explains the applicability (or lack thereof) of government on the rapidly growing Internet.","ON THIS DAY... on February 8, 2005, Google Maps is launched to the public and asking for directions has never been the same.",,
,9,"ON THIS DAY... on February 9, 1969, this date was the first test flight of the Boeing 747. Interesting that they chose the same date 6 years after the first test flight of the Boeing 727.",Día Internacional del Internet Seguro,,
,10,"ON THIS DAY… on February 10, 1996, In the first game of a six game match, IBM's Deep Blue chess computer defeated world champion Garry Kasparov. No computer had ever won a game against a world champion in chess. Kasparov would eventually win the series 4-2.",,,
,11,"ON THIS DAY… on February 11, 2010, a group of cyber-activists jammed for second day in a row key Australian government websites. Codenamed ""Operation: Titstorm”, it was in protest over controversial plans by the government to filter the Internet. Hundreds of people were involved.",Día de la mujer y la niña en la ciencia,,
,12,"ON THIS DAY… on February 12 1948, Ray Kurzweil, one of the most important American inventors in history was born. He received numerous awards by the MIT, US Patent Office and others for his work in optical character recognition, speech recognition and AI among others.",,,
,13,"ON THIS DAY... on February 13, 1980, Apollo Computer is incorporated in Chelmsford, MA. From 1980 to 1987, Apollo was the largest manufacturer of network workstations. In 1989, 
Hewlett-Packard Company acquired Apollo in a $476 million deal.",,,
,14,"ON THIS DAY… on February 14, 1876, rival inventors Elisha Gray and Alexander Graham Bell both applied for patents for the telephone. Considered one of the top inventions in history, the true inventor of the telephone is still controversial and has been the center of several judicial cases.","San Valentín
16º Aniversario de Youtube (2021)",,
,15,"ON THIS DAY… on February 15, 1946, the ENIAC, Electronic Numerical Integrator and Computer, had its official unveiling at University of Pennsylvania. It was one of the earliest electronic general-purpose computers in history.",,,
,16,"ON THIS DAY… on February 16, 1971, the 1st Computer Bulletin Board System was created (Ward & Randy's CBBS in Chicago). Bulletin board systems were in many ways a precursor to the modern form of the World Wide Web, social networks, and other aspects of the Internet.",,,
,17,"ON THIS DAY… on February 17, 1874, Thomas J. Watson Sr. is born. He took helm of IBM and direct it to world leadership in punch card equipment sales. Watson died in 1956 and control of IBM passed on to his son, Thomas Watson, Jr. who brought IBM into the electronic age and, after several bold financial risks, to dominance in the computer industry.",,,
,18,"ON THIS DAY… on February 18, 1997, Astronauts on the space shuttle Discovery completed their tune-up of the Hubble Space Telescope after ¡33! hours of spacewalking; the Hubble was then released using the shuttle's crane.",,,
,19,"ON THIS DAY... on February 19, 1878, Thomas Edison patents the gramophone, later called the record player. It was the first device able to record and then reproduce the sound. This invention propelled the expansion of music and other arts.",,,
,20,"ON THIS DAY… on February 20, 1986, the first piece of the Mir Space Station is launched. With 6 docking ports and labs for research, the Space Station was expected to push us into the stars. The term “Mir” is Russian for “Peace”.",,,
,21,"ON THIS DAY… on February 21, 1947, in New York City, Edwin Land demonstrates the first ""instant camera"", the Polaroid Land Camera, to a meeting of the Optical Society of America. After Land's retirement from Polaroid, the name 'Land' was dropped from the camera name.",,,
,22,"ON THIS DAY… on February 22, 1997, in Roslin, Midlothian, British scientists announce that an adult sheep named Dolly has been successfully cloned. It was the first mammal cloned from an adult somatic cell, using the process of nuclear transfer.",,,
,23,"ON THIS DAY… on February 23, 2005, the discovery of the first mobile phone virus, Cabir, is announced. Specifically, Cabir is a worm which infects phones running the Symbian OS. Whenever an infected phone is activated, the message “Caribe” is displayed. Infected phones also attempts to spread the virus through Bluetooth signals.",,,
,24,"ON THIS DAY… on February 24, 1955, Apple Computer co-founder Steve Jobs is born. Some of Jobs’ achievements in this new era include the iMac, the iPhone, the iTunes music store, the iPod, and the iPad. Under Jobs’ leadership Apple was at one time the world’s most valuable company.",,,
,25,"ON THIS DAY… on February 25, 2010, Apple announces that its has sold its ten billionth song through its iTunes Store. The ten billionth song, “Guess Things Happen That Way” by Johnny Cash, was purchased by somebody whom Apple awarded a $10,000 iTunes Gift Card. It took Apple over five years to sell its first five billion songs but only a year and a half to sell its second five billion songs.",,"ON THIS DAY... on February 25h 1999, hacker Gigabyte hacked C#. C# (pronounced ""C-sharp"") was Microsoft's newest programming language. The perpetrator was a seventeen year old female hacker from Belgium, calling herself “Gigabyte”. The reason why she did it, in her own words, was: ""I want to let people (and especially guys) know there ARE girls out there who like computers and for more than games. I think that’s quite important …"".",
,26,"ON THIS DAY… on February 26, 1935, Robert Watson-Wratt carries out a technological demonstration near Daventry, England which leads to the invention of the radar by the UK.",,"ON THIS DAY… on February 26, 1991, Sir Tim Berners Lee showed everyone the first web browser and WYSIWYG (What You See Is What You Get) HTML editor. The Browsers’ name was called “WorldWideWeb”, but was later changed to “Nexus”. Berners-Lee ran it on the NeXTSTEP platform and worked with not only the File Transfer Protocol (FTP), but the Hypertext Transfer Protocol (HTTP). Nexus is not in production anymore.",
,27,"ON THIS DAY… on February 27, 1998, Apple Computer announces that it will discontinue development of the five year-old Newton Operating System and all of its Newton OS-based products, including the MessagePad series and EMate 300. Apple will focus on developing the Macintosh, which is once again left as Apple’s only computing platform … at least until the iPod, iPhone, and iPad come along.",,,
,28,"ON THIS DAY… on February 28, 1663, Thomas Newcomen, co-inventor of the steam engine, was born. He is considered the father of the Industrial Revolution as he was one of the first innovators and businessman related to that technological movement.",,,
,29,"ON THIS DAY… ON THIS DAY… on March 1 1966, Venera 3 Soviet space probe crashes on Venus, becoming the first spacecraft to land on another planet’s surface. years ago, on February 29, 1860, Herman Hollerith, a statistician and American businessman was born. He was one of the co-founders of the Computing-Tabulating-Recording Company, later renamed as International Business Machines (IBM).",,,
Marzo,1,"ON THIS DAY… on March 1 1966, Venera 3 Soviet space probe crashes on Venus, becoming the first spacecraft to land on another planet’s surface.",,"ON THIS DAY... on March 1st, 1976, Steve Wozniak, an employee at Hewlett Packard (at the time), built his first computer motherboard. He showed it off at the Homebrew club, where he was inspired. Steve Jobs meets up with Woz, where he convinces him to keep the design (not to sell it). They will then join up to create the Apple 1 computer.",
,2,"ON THIS DAY… on March 2 1987, the Macintosh II computer was introduced. The 1st color Mac had a CPU speed of 16 MHz and was sold for $7,145. This project was started without the knowledge of Steve Jobs and was public in the company only after his release.",,,
,3,"ON THIS DAY on March 3, 1847, Alexander Graham Bell was born in Edinburgh, Scotland. He invented the telephone and his family was well-known as leaders on elocution and speech correction. Bell also founded the American Telephone and Telegraph Company (AT&T).",,,
,4,"ON THIS DAY… on March 4, 1986, Michel Krieger was born in Sao Paulo, Brazil. In 2004 he moved to Stanford University where he studied symbolic systems. He and Kevin Systrom founded Instagram in 2010 making him a multi-miliionaire.",,,
,5,"ON THIS DAY… on March 5, 1975, the Homebrew Computer Club, held its first meeting in Menlo Park, Ca. It was an outgrowth of the store-front based People’s Computer Co. The meeting inspired Steve Wozniak (24) to design and build the first Apple computer.",,,
,6,"ON THIS DAY… on March 6, 1992, the Michelangelo virus, so-named because it activates on March 6, the birthday of Michelangelo, begins infecting computers. The virus will also make news in 1993. It was one of the earliest viruses to receive widespread media attention and also one of the first to prompt widespread hysteria. ",,,
,7,"ON THIS DAY… on March 7, 1765, Joseph N. Niepce was born. He was a French landowner, lithographer and inventor. With his partner, L.J.M. Daguerre, they both invented the first successful photographic process. Later, Daguerre perfected the process and popularized daguerreotypes as the first commercial photographs.",,"ON THIS DAY... on March 7th, 1996, the first pictures from Pluto were released. Even though Pluto was first seen in 1930, we didn’t have the ability to take a decent picture of the furthest planet (?). The Hubble telescope finally was powerful enough to take photos of Pluto’s surface. They spent over 6 days taking snapshots and learning all about this distant neighbor.",
,8,"ON THIS DAY… on March 8, 1910, Raymonde de Laroche became the first woman in the world to receive a pilot license. After that, she received the title of Baroness despite not being a noble and participated in several competitions and exhibitions. She died while working as a test pilot and engineer in 1919 in a plane crash. De Laroche held several aviation records and she is regarded as a key precursor of women in aviation.",Día Internacional de la Mujer,,
,9,"ON THIS DAY…  on March 9, 2016, a Google-developed supercomputer called Alpha Go stunned South Korean Go grandmaster Lee Se-Dol by taking the first game of a five-match showdown. Alpha Go will win the series 4 to 1 in what is considered a public breakthrough in AI.",,,
,10,"ON THIS DAY… on March 10, 2000, the Nasdaq Composite stock market index peaks at 5132,52, signaling for many experts the beginning of the end of the dot-com boom. Several years of instability and scandals will follow but there was some light at the end of the tunnel.",,,
,11,"ON THIS DAY… on March 11 1890, Vannevar Bush was born. A preeminent engineer, he invented the analogue computer and headed the R&D development of the US during WWII. He was vital for radar improvements and the Manhattan Project. Bush received awards endless times at a national an international level.",,,
,12,"ON THIS DAY… on March 12 1894, Coca-Cola is bottled and sold for the first time in Vicksburg, Mississippi, by local soda fountain operator Joseph A. Biedenharn. The Company has now almost 62,000 employees.",,"ON THIS DAY… on March 12, 2016, AlphaGo, a DeepMind AI from Google beats Go champion Lee Se-dol for the third straight time at playing the ancient Chinese board game of Go.",
,13,"ON THIS DAY… on March 13 1986, nearly eleven years after its founding, Microsoft began trading stock on the NASDAQ stock exchange. The initial share price was set at $28 dollars a share, raising almost 61 million dollars in a single day.",,,
,14,"ON THIS DAY… on March 14, 1955, AT&T Bell Laboratories announces the completion of the first fully transistorized computer, TRADIC. It contained nearly 800 transistors, which replaced the standard vacuum tube and allowed the machine to operate on fewer than 100 watts",,"ON THIS DAY… on March 14, 2011, Microsoft released its brand-new browser, Internet Explorer 9. It is said it's still loading.",
,15,"ON THIS DAY… on March 15, 1994, Aldus Corporation and Adobe Systems Inc. announce they will merge. Aldus revolutionized desktop publishing (DTP) with the PageMaker program in 1985. Adobe was founded in 1982.",Día del Consumidor,,
,16,"ON THIS DAY… on March 16, 2009, the US and Germany signed an agreement to share science and technology research in an effort to improve the security of both nations.",,,
,17,"ON THIS DAY… on March 17, 1988, Apple Computer famously sues Microsoft Corporation for copyright infringement in its Windows operating system, which had some similarities to the Macintosh GUI. Apple eventually lost the lawsuit in 1995.",,,
,18,"ON THIS DAY… on March 18, 1974, Atari Introduces Gran Trak 10. It is the first arcade game to use solid state read-only memory (ROM) to store sprites for each car, the game timer, the race track, and the score. As such, it’s the the first game to have defined characters rather than mathematically manipulated dots. ",,,
,19,"ON THIS DAY… on March 19, 1986, the domains ibm.com and sun.com come online. These domains are considered the 11th and 12th oldest domains in history.",Día del Padre,,
,20,"ON THIS DAY… on March 20, 2005, Yahoo acquires the company Ludicorp along with its popular photo-sharing site Flickr. It is reported that Flickr currently hosts more than 5 billion photos.","Día de la Felicidad
Comienzo de la primavera",,
,21,"ON THIS DAY… on March 21, 2006, Jack Dorsey sends the first tweet. The origins of Twitter came out of a brainstorming session. The initial concept was to share short messages via SMS text messaging with a small group. Jack Dorsey was the primary designer of what was then code-named “twttr” and sent the first message at 9:50am on March 21st, 2006 - ""just setting up my twttr.""",15 Aniversario de Twitter,,
,22,"ON THIS DAY… on March 22, 1895, the Lumiere brothers showed their first film to an audience. It was a romantic comedy about a crowd of mostly women leaving a building. ",,,
,23,"ON THIS DAY…  on March 23, 2001, the Russian space station MIR burns up in the Earth’s atmosphere after fifteen years in orbit. The remainin debris falls safely into the ocean, in a region from which governments had routed planes and ships away. The station, which was launched in 1986, far exceeded its intended lifespan of five years.",,"ON THIS DAY… on March 23, 1928, was born Jean E. Sammet, an American computer scientist who developed the FORMAC programming language in 1962. From 1958 to 1961 he worked for Sylvania as a personal consultant for programming research and was a member of the original COBOL group. She joined IBM in 1961 where he developed FORMAC, the first widely-used programming language for symbolic manipulation of mathematical formulae.",
,24,"ON THIS DAY… on March 24, 2001, Mac OS X 10.0, the first public version of Mac OS X, is released. The code name for this release was Cheetah, although Apple did not start using the code names for marketing purposes until Mac OS X 10.3, Jaguar.",,,
,25,"ON THIS DAY… on March 25, 1992, Microsoft Corporation releases its Excel 4.0 spreadsheet program. Excel was one in a long line of practical applications that Microsoft and other companies developed for personal computers, making them more appealing to home and office users.",,,
,26,"ON THIS DAY… on March 26, 1999, the “Melissa” worm showed up in a file on the alt.sex usenet group and became the first successful mass-mailing worm. The worm’s creator, David L. Smith, apparently named the worm after a lap dancer in Florida. While the virus did not directly cause any damage, the sheer volume of e-mail that it generated crashed many corporate servers.",,,
,27,"ON THIS DAY… on March 27, 1884, the first successful long-distance telephone conversation took place. Bell and Watson experimented with a line of two twelve gauge hard-drawn copper wires connecting Boston and New York City. The line worked for about ninety minutes before finally falling.",,,
,28,"ON THIS DAY... on March 28, 1995, Kodak releases the DC40 camera, which is only the second digital camera for the consumer market. While introduced over a year after Apple’s QuickTake 100 camera, Kodak’s marketing was largely responsible for popularizing digital photography.",,,
,29,"ON THIS DAY... on March 29, 1982, the first completely computer animated video wins an Academy Award for best animated short film. “Tin Toy” by Pixar was about a toy named Tinny – a one man band – who was being played by an infant named Billy. The short film lasted 5 minutes and cost $300,000 to make. A sequel was in the works, but Tinny was not a popular toy for the kids. Therefore, the film was not made and Pixar concentrated on the movie “Toy Story”.",,,
,30,"ON THIS DAY… on March 30, 1993, the graphics software labs at AT&T closed down and relocated to the AT&T Multimedia Software Solutions. The division focused on software products that included 3D vector based graphic programs like AutoCAD, RIO, TOPAZ for PC and Mac computers.",,,
,31,"ON THIS DAY… on March 31, 1999, the motion picture, The Matrix, is released. No one can deny the impact it had on many aspects of our society from the emerging tech culture, to the movie industry, to science-fiction, to political thinking. The Matrix won 4 Oscars and was the first DVD to sell over 3 million copies.",,,
Abril,1,"ON THIS DAY… on April 1, 2004, the now ubiquitous Gmail service is launched as an invitation-only beta service. At first met with skepticism due to it being launched on April Fool’s Day, the ease of use and speed that Gmail offered for a web-based e-mail service quickly won converts. The fact that Gmail was invitiation-only for a long time helped fuel a mystique that those who had a Gmail address were hip and uber-cool.  ",,,
,2,"ON THIS DAY…  on April 2, 1980, Microsoft Corporation announced its first hardware product: the Z80 SoftCard. It was a microprocessor on a printed circuit board sold for $349.00 that plugged into the Apple II and turned the personal computer into a CP/M system based upon the Zilog Z80. ",,,
,3,"ON THIS DAY… on April 3, 1973, Martin Cooper made the first handheld cellular phone call in public. Walking down the streets of New York, Cooper, General Manager of Motorola’s communication system division, talked on the phone. It’s not the first cellular call since car phones have been around before then. The phone is also known as the “Brick” cell phone. 

","ON THIS DAY… on April 3, 2010, the first Apple iPad went on sale in the US, starting at $499.",,
,4,"ON THIS DAY… on April 4, 1975, Paul Allen and Bill Gates founded Microsoft in Albuquerque, NM. The company was founded there simply because that is where Micro Instrumentation and Telemetry Systems (MITS) is located. The duo was building BASIC for the Altair 8800 


ON THIS DAY… on April 4, 2004, Marc Andreessen and Jim Clark found Mosaic Communications Corp., later renamed Netscape Communications Corp. Andreessen developed the software used for browsing the World Wide Web while working at the National Center for Supercomputing Applications (NCSA) at the University of Illinois. Clark co-founded high-performance computer maker Silicon Graphics Inc. ",,,
,5,"PRESENTACION POST MARINA

ON THIS DAY… on April 5, 1995, SATAN was released. The program is called the Security Administrator Tool for Analyzing Networks, but you may call it SATAN. The Perl written program, written by Dan Famer and Wietse Venema, was released to help network admins find vulnerabilities in their remote systems. There was a lot of controversy over the tool and its release, since it was the first user friendly powerful security tool. ",,,
,6," ON THIS DAY… on April 6, 1968, the movie 2001: A Space Odyssey premiered. This Stanley Kubrick classic won an Oscar for best visual effects and was nominated for best director, best art direction and best writing , story and screenplay. For any Sci-Fi geek, this is an important movie in the genre. ",,,
,7,"ON THIS DAY… on April 7, 1969, the first Request For Comment, RFC 1 put together by Steve Crocker was distributed on the newly operational ARPANET. RFCs describe methods, behaviors, research, or innovations applicable to the working of the Internet. 

ON THIS DAY… on April 7, 2015, HBO launched it’s HBO Now service, allowing US viewers to watch HBO online without a cable subscription. The service was initially sold through Apple and Cablevision. ",,,
,8,"ON THIS DAY… on April 8, 1991, Java Development begins in earnest as Sun's Java team moves from Sun Microsystems to work in secret on its ""Oak"" development project (later re-named Java). ",,,
,9,"ON THIS DAY… on April 9, 2012, Facebook purchased Instagram. Facebook, trying to get a hold on photosharing, decides to not wait for their iPhone app to come out but instead purchase Instagram for 1 billion dollars ($300 million and 23 million shares of Facebook stock). The reason Facebook made the purchase was for the close to 50 million Instagram users. Facebook had plans to keep both companies separate, but found later that joining the two via databases would help both companies grow. ",,,
,10,"ON THIS DAY… on April 10, 2003, Sony Blu-Ray players hit store shelves for the first time. The BDZ-S77 was the first model, but didn’t sell too well because of the $3800 price tag attached to it. Add to it no movies available in the Blu-Ray format just yet. In fact, the first Blu-Ray movies didn’t hit shelves until June 20, 2006. 50 First Dates, the Fifth Element, Hitch, Terminator and Charlies Angels: Full Throttle were the first titles to be released. ",,,
,11,"ON THIS DAY… on April 11, 2009, Susan Boyle takes the Stage at “Britian’s Got Talent”. A person that most would write-off at first glance, sings “I Dreamed a Dream” from Les Miserables. Once she was done, the 48 year-old Scot got a standing ovation. The next day, her audition was posted and became one of the most viral on YouTube. It had been downloaded over 347 million times. Of course, Boyle’s performance has been overshadowed by Gangnam Style… 
","ON THIS DAY… on April 11, 1985, almost exactly 2 years after joining Apple, John Sculley, asks Steve Jobs to step down as head of the Macintosh division at an Apple Computer board meeting. With the backing of the company’s other executives, Jobs is stripped of nearly all responsibilities at Apple. While Jobs retains the title of Chairman, he has no authority and eventually leaves Apple. ",,
,12,"ON THIS DAY… on April 12, 1961, Yuri Gagarin, age 27, becomes the first man to orbit the Earth aboard the Soviet spacecraft, Vostok 1. He remains in space for an hour and forty-eight minutes before re-entering the atmosphere. This ultimately was Gagarin’s only space flight. He died on March 27, 1968 when the MiG-15 he was piloting crashed near Moscow. Reportedly, at the time of his death, Yuri Gagarin was in training for a second space mission. ","ON THIS DAY... on April 12, 2014, Amazon Fire TV was first released. They are a line of streaming devices for televisions developed by Amazon. They decided to give more attention to this series of products in light of the loss of sales experienced by the company in the third quarter of 2014. The launch of the Fire Phone that same year did not prove beneficial for revenue growth and the Fire TV Stick was presented as an alternative for all budgets to rebound in earnings for the holiday season.",,
